CHEMICAL NAME,CASRN,LAST SIGNIFICANT REVISION,IRIS SUMMARY,TOX REVIEW/SUPPORTING DOCUMENT,LITERATURE SCREENING REVIEW,CRITICAL EFFECT SYSTEMS,TUMOR SITE,PESTICIDE,ARCHIVE,NONCANCER ASSESSMENT TYPE,SYSTEM (RfD),RfD (mg/kg-day),BASIS (RfD),PoD (RfD),COMPOSITE UF (RfD),CONFIDENCE (RfD),SYSTEM (RfC),RfC (mg/m^3),BASIS (RfC),PoD (RfC),COMPOSITE UF (RfC),CONFIDENCE (RfC),WOE CHARACTERIZATION,FRAMEWORK FOR WOE CHARACTERIZATION,WOE BASIS,QUANT. EST. OF CARC. RISK FROM ORAL EXPOSURE,QUANT. EST. OF CARC. RISK FROM INHALATION EXPOSURE
"Acifluorfen, sodium",62476-59-9,Mar-31-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Developmental; Urinary,None,pesticide,,Oral,Developmental; Urinary; Other,1.3 x 10 -2,Mortality and kidney lesions,NOEL: 1.25 mg/kg-day,100,Medium,,,,,,,,,,,
Acrolein,107-02-8,Jun-03-2003,"(PDF 25 pp, 176 K)","(PDF 106 pp, 332 K)",No,Respiratory,None,,,Oral,Other,5 x 10 -4,Decreased survival,NOAEL: 0.05 mg/kg-day,100,Medium/High,,,,,,,Data are inadequate for an assessment of human carcinogenic potential,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under the Draft Revised Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), the potential carcinogenicity of acrolein cannot be determined because the existing data are inadequate for an assessment of human carcinogenic potential for either the oral or inhalation route of exposure. There are no adequate human studies of the carcinogenic potential of acrolein. Collectively, experimental studies provide inadequate evidence that acrolein causes cancer in laboratory animals. This may be a synopsis of the full weight-of-evidence narrative.",,
Acrolein,107-02-8,Jun-03-2003,"(PDF 25 pp, 176 K)","(PDF 106 pp, 332 K)",No,Respiratory,None,,,Inahlation,,,,,,,Respiratory,2 x 10 -5,Nasal lesions,LOAEL (HEC): 0.02 mg/m3,1000,Medium,Data are inadequate for an assessment of human carcinogenic potential,"Revised Draft Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999)","Under the Draft Revised Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1999), the potential carcinogenicity of acrolein cannot be determined because the existing data are inadequate for an assessment of human carcinogenic potential for either the oral or inhalation route of exposure. There are no adequate human studies of the carcinogenic potential of acrolein. Collectively, experimental studies provide inadequate evidence that acrolein causes cancer in laboratory animals. This may be a synopsis of the full weight-of-evidence narrative.",,
Acrylamide,79-06-1,Mar-22-2010,"(PDF 34 pp, 324 K)","(PDF 459 pp, 4.84 M)",No,Nervous,Endocrine; Reproductive,,,Oral,Nervous,2 x 10 -3,Degenerative nerve changes,HED (BMDL): 0.053 mg/kg-day,30,Medium/High,,,,,,,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","In accordance with the Guidelines for Carcinogen Risk Assessment U.S. EPA, 2005, acrylamide (AA) is characterized as ""likely to be carcinogenic to humans."" This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5 x 10-1 per mg/kg-day
Extrapolation Method: Multistage model with linear extrapolation from the point of departure (BMDL), summed risk.
Tumor site(s): Reproductive, Endocrine
Tumor type(s): thyroid tumors and tunica vaginalis mesotheliomas (Johnson et al., 1986)
Note: ADAF -- EPA has concluded that acrylamide is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the oral slope factor is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure.","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Multistage model with linear extrapolation from the point of departure (BMDL), summed risk.
Tumor site(s): Endocrine, Reproductive
Tumor type(s): thyroid tumors and tunica vaginalis mesotheliomas (Johnson et al., 1986)
Note: ADAF -- EPA has concluded that acrylamide is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the inhalation unit risk is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure."
Acrylamide,79-06-1,Mar-22-2010,"(PDF 34 pp, 324 K)","(PDF 459 pp, 4.84 M)",No,Nervous,Endocrine; Reproductive,,,Inahlation,,,,,,,Nervous,6 x 10 -3,Degenerative nerve changes,HEC 5 (BMDL): 0.18 mg/m3,30,Medium,Likely to be carcinogenic to humans,"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 2005)","In accordance with the Guidelines for Carcinogen Risk Assessment U.S. EPA, 2005, acrylamide (AA) is characterized as ""likely to be carcinogenic to humans."" This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5 x 10-1 per mg/kg-day
Extrapolation Method: Multistage model with linear extrapolation from the point of departure (BMDL), summed risk.
Tumor site(s): Reproductive, Endocrine
Tumor type(s): thyroid tumors and tunica vaginalis mesotheliomas (Johnson et al., 1986)
Note: ADAF -- EPA has concluded that acrylamide is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the oral slope factor is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure.","Inhalation Unit Risk: 1 x 10-4 per µg/m3
Extrapolation Method: Multistage model with linear extrapolation from the point of departure (BMDL), summed risk.
Tumor site(s): Endocrine, Reproductive
Tumor type(s): thyroid tumors and tunica vaginalis mesotheliomas (Johnson et al., 1986)
Note: ADAF -- EPA has concluded that acrylamide is carcinogenic by a mutagenic mode of action. Application of age-dependent adjustment factors (ADAFs) to the inhalation unit risk is recommended in combination with appropriate exposure data when assessing risk associated with early-life exposure."
Acrylic acid,79-10-7,Apr-01-1994,"(PDF 23 pp, 157 K)",Not Available,Yes,Developmental; Nervous; Respiratory,None,,,Oral,Developmental,5 x 10 -1,Reduced pup weight,NOAEL: 5.3 x 101 mg/kg-day,100,High,,,,,,,,,,,
Acrylic acid,79-10-7,Apr-01-1994,"(PDF 23 pp, 157 K)",Not Available,Yes,Developmental; Nervous; Respiratory,None,,,Inahlation,,,,,,,Nervous; Respiratory,1 x 10 -3,Degeneration of the nasal olfactory epithelium,LOAEL (HEC): 3.3 x 10-1 mg/m3,300,Medium,,,,,
Acrylonitrile,107-13-1,Nov-01-1991,"(PDF 23 pp, 162 K)",Not Available,Yes,Respiratory,Gastrointestinal; Nervous; Respiratory,,,Inhalation,,,,,,,Respiratory,2 x 10 -3,Degeneration and inflammation of nasal respiratory epithelium; hyperplasia of mucous secreting cells,LOAEL (HEC): 1.9 mg/m3,1000,Medium,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","The observation of a statistically significant increase in incidence of lung cancer in exposed workers and observation of tumors, generally astrocytomas in the brain, in studies in two rat strains exposed by various routes (drinking water, gavage, and inhalation) forms the basis for this classification. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5.4 x 10-1 per mg/kg-day
Drinking Water Unit Risk: 1.5 x 10-5 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Gastrointestinal, Nervous, Other
Tumor type(s): Brain and spinal cord astrocytomas, Zymbal gland carcinomas and stomach papillomas/ carcinomas (Biodynamics, 1980a,b Quast et al., 1980a)","Inhalation Unit Risk: 6.8 x 10-5 per µg/m3
Extrapolation Method: Average relative risk
Tumor site(s): Respiratory
Tumor type(s): Respiratory cancer (O'Berg, 1980)"
Adiponitrile,111-69-3,Feb-01-1991,"(PDF 6 pp, 89 K)",Not Available,Yes,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human and no animal cancer data were available. Adiponitrile was negative for mutagenicity in Salmonella with and without activation. This may be a synopsis of the full weight-of-evidence narrative.,,
Alachlor,15972-60-8,Sep-01-1993,"(PDF 9 pp, 100 K)",Not Available,No,Hematologic,None,pesticide,,Oral,Hematologic; Other,1 x 10 -2,Hemosiderosis; hemolytic anemia,NOAEL: 1 mg/kg-day,100,High,,,,,,,,,,,
Alar,1596-84-5,Jun-30-1988,"(PDF 8 pp, 91 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,1.5 x 10 -1,No adverse effects,NOEL: 1.5 x 101 mg/kg-day,100,Low,,,,,,,,,,,
Aldicarb,116-06-3,Nov-01-1993,"(PDF 24 pp, 161 K)",Not Available,Yes,Nervous,None,pesticide,,Oral,Nervous,1 x 10 -3,Sweating as clinical sign of AChe inhibition,NOAEL: 1 x 10-2 mg/kg-day,10,Medium,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Aldicarb was not found to induce statistically significant increases in tumor incidence in mice or rats in feeding studies or mice in a skin painting study. In the feeding studies there were, however, significant trends in pituitary tumors in female rats and fibrosarcomas in the male mouse. This evidence, together with the fact that less than maximum tolerated doses were used, indicates that the available assays are inadequate to assess the carcinogenic potential of aldicarb. This may be a synopsis of the full weight-of-evidence narrative.",,
Aldicarb sulfone,1646-88-4,Nov-01-1993,"(PDF 10 pp, 102 K)",Not Available,Yes,Nervous,None,,,Oral,Nervous,1 x 10 -3,Brain ChE inhibition in females,NOAEL: 1.1 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Aldrin,309-00-2,Sep-30-1987,"(PDF 14 pp, 121 K)",Not Available,Yes,Hepatic,Hepatic,pesticide,,Oral,Hepatic,3 x 10 -5,Liver toxicity,LOAEL: 2.5 x 10-2 mg/kg-day,1000,Medium,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Orally administered aldrin produced significant increases in tumor responses in three different strains of mice in both males and females. Tumor induction has been observed for structurally related chemicals, including dieldrin, a metabolite. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1.7 x 101 per mg/kg-day
Drinking Water Unit Risk: 4.9 x 10-4 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver carcinoma (Davis, 1965, NCI, 1978)","Inhalation Unit Risk: 4.9 x 10-3 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Liver carcinoma (Davis, 1965, NCI, 1978)"
Ally,74223-64-6,Jun-30-1988,"(PDF 6 pp, 85 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,2.5 x 10 -1,Decreased body weight,NOEL: 2.5 x 101 mg/kg-day,100,High,,,,,,,,,,,
Allyl alcohol,107-18-6,Jan-31-1987,"(PDF 7 pp, 90 K)",Not Available,Yes,Hepatic; Urinary,None,,,Oral,Hepatic; Urinary,5 x 10 -3,Impaired renal function and increased liver and kidney weights,NOEL: 4.8 mg/kg-day,1000,Low,,,,,,,,,,,
Allyl chloride,107-05-1,Dec-01-1991,"(PDF 13 pp, 139 K)",Not Available,Yes,Nervous,None,,,Inhalation,,,,,,,Nervous,1 x 10 -3,Functional and histological peripheral neurotoxicity,NOAEL (HEC): 3.6 mg/m3,3000,Low,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Classification is based on a low (but biologically important) incidence of forestomach tumors in female mice and positive results in a variety of genetic toxicity tests. Allyl chloride is an alkylating agent and structurally related to probable human carcinogens. This may be a synopsis of the full weight-of-evidence narrative.,,
Aluminum phosphide,20859-73-8,Jan-31-1987,"(PDF 7 pp, 88 K)",Not Available,Yes,None,None,pesticide,,Oral,Other,4 x 10 -4,Body weight and clinical parameters,NOAEL: 4.3 x 10-2 mg/kg-day,100,Medium,,,,,,,,,,,
Amdro,67485-29-4,Sep-30-1987,"(PDF 7 pp, 87 K)",Not Available,Yes,Hepatic,None,pesticide,archive,Oral,Hepatic; Other,3 x 10 -4,Increased organ weights,NOEL: 3.3 x 10-1 mg/kg-day,1000,High,,,,,,,,,,,
Ametryn,834-12-8,Sep-30-1987,"(PDF 7 pp, 89 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,9 x 10 -3,Liver toxicity,NOEL: 8.6 mg/kg-day,1000,Low,,,,,,,,,,,
4-Aminopyridine,504-24-5,Dec-01-1989,"(PDF 6 pp, 86 K)",Not Available,Yes,None,None,pesticide,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data available. This may be a synopsis of the full weight-of-evidence narrative.,,
Amitraz,33089-61-1,Aug-22-1988,"(PDF 8 pp, 91 K)",Not Available,Yes,Hematologic,None,pesticide,,Oral,Hematologic,2.5 x 10 -3,Increased mean blood sugar concentration; slight hypothermia,NOEL: 2.5 x 10-1 mg/kg-day,100,Medium,,,,,,,,,,,
Ammonia,7664-41-7,Sep-20-2016,"(PDF 10 pp, 309 K)","(PDF 99 pp, 1.0 M)Ammonia Support Documents",Yes,Respiratory,None,,,Inhalation,,,,,,,Respiratory,5 x 10 -1,Decreased lung function and respiratory symptoms,NOAEL (ADJ): 4.9 mg/m3,10,Medium,,,,,
Ammonium acetate,631-61-8,Mar-01-1991,"(PDF 5 pp, 86 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data This may be a synopsis of the full weight-of-evidence narrative.,,
Ammonium methacrylate,16325-47-6,Mar-01-1991,"(PDF 5 pp, 87 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",No human data and no animal data This may be a synopsis of the full weight-of-evidence narrative.,,
Ammonium sulfamate,7773-06-0,Jan-01-1989,"(PDF 7 pp, 89 K)",Not Available,Yes,None,None,,,Oral,Other,2 x 10 -1,Decrease in body weight,NOEL: 2.143 x 102 mg/kg-day,1000,Low,,,,,,,,,,,
Aniline,62-53-3,Nov-01-1990,"(PDF 19 pp, 139 K)",Not Available,Yes,Hematologic,Immune,,,Inhalation,,,,,,,Hematologic,1 x 10 -3,Methemoglobin increase; spleen toxicity,NOAEL (HEC): 3.4 mg/m3,3000,Low,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Induction of tumors of the spleen and the body cavity in two strains of rat, and some supporting genetic toxicological evidence. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 5.7 x 10-3 per mg/kg-day
Drinking Water Unit Risk: 1.6 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Immune
Tumor type(s): Spleen, combined fibrosarcoma, stromal sarcoma, capsular sarcoma and hemangiosarcoma (CIIT, 1982)",
ortho-Anisidine,90-04-0,Oct-01-1991,"(PDF 4 pp, 83 K)",Not Available,Yes,None,None,,archive,,,,,,,,,,,,,,,,,,
Anthracene,120-12-7,Jan-01-1991,"(PDF 13 pp, 114 K)",Not Available,No,None,None,,,Oral,Other,3 x 10 -1,No observed effects,NOEL: 1.000 x 103 mg/kg-day,3000,Low,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate data from animal bioassays. This may be a synopsis of the full weight-of-evidence narrative.,,
Antimony,7440-36-0,Jan-31-1987,"(PDF 8 pp, 95 K)",Not Available,Yes,Hematologic,None,,,Oral,Hematologic; Other,4 x 10 -4,Longevity; blood glucose; and cholesterol,LOAEL: 3.5 x 10-1 mg/kg-day,1000,Low,,,,,,,,,,,
Antimony trioxide,1309-64-4,Sep-01-1995,"(PDF 21 pp, 158 K)",Not Available,Yes,Respiratory,None,,,Inhalation,,,,,,,Respiratory,2 x 10 -4,Pulmonary toxicity; chronic interstitial inflammation,BMC 10 (HEC): 7.4 x 10-2 mg/m3,300,Medium,,,,,
Apollo,74115-24-5,Jun-01-1991,"(PDF 12 pp, 108 K)",Not Available,Yes,Endocrine; Hepatic,None,pesticide,,Oral,Endocrine; Hepatic,1.3 x 10 -2,Liver effects; organ weight changes,NOEL: 1.25 mg/kg-day,100,High,,,,,,,C (Possible human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on an increase in thyroid gland follicular cell tumors in male rats and supportive findings in pituitary/thyroid hormone activity. This may be a synopsis of the full weight-of-evidence narrative.,,
Aramite,140-57-8,Jun-01-1991,"(PDF 14 pp, 125 K)",Not Available,Yes,None,Hepatic,,,,,,,,,,,,,,,,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on no human data and sufficient data from animal bioassays including increased incidence of liver tumors and/or neoplastic nodules in three strains of male and female rats and males of one strain of mice, and extrahepatic biliary system tumors in dogs following chronic oral exposure. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 2.5 x 10-2 per mg/kg-day
Drinking Water Unit Risk: 7.1 x 10-7 per µg/L
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Neoplastic liver nodules and carcinomas (Popper et al., 1960; Oser and Oser, 1962)","Inhalation Unit Risk: 7.1 x 10-6 per µg/m3
Extrapolation Method: Linearized multistage procedure, extra risk
Tumor site(s): Hepatic
Tumor type(s): Neoplastic liver nodules and carcinomas (Popper et al., 1960; Oser and Oser, 1962)"
Aroclor 1016,12674-11-2,Jan-01-1993,"(PDF 19 pp, 145 K)",Not Available,No,Developmental,None,,,Oral,Developmental,7 x 10 -5,Reduced birth weights,NOAEL: 7 x 10-3 mg/kg-day,100,Medium,,,,,,,,,,,
Aroclor 1248,12672-29-6,Apr-01-1994,"(PDF 7 pp, 88 K)",Not Available,No,None,None,,,,,,,,,,,,,,,,,,,,
Aroclor 1254,11097-69-1,Oct-01-1994,"(PDF 26 pp, 167 K)",Not Available,No,Dermal; Immune; Ocular,None,,,Oral,Immune; Dermal; Ocular,2 x 10 -5,Ocular exudate; inflamed and prominent Meibomian glands; distorted growth of finger and toe nails; decreased antibody (IgG and IgM) response to sheep erythrocytes,LOAEL: 5 x 10-3 mg/kg-day,300,Medium,,,,,,,,,,,
"Arsenic, Inorganic",7440-38-2,Jun-01-1995,"(PDF 29 pp, 186 K)","Not Available                                                                            Arsenic, Inorganic Support Documents",Yes,Cardiovascular; Dermal,Dermal; Respiratory,,,Oral,Cardiovascular; Dermal,3 x 10 -4,Hyperpigmentation; keratosis and possible vascular complications,NOAEL: 8 x 10-4 mg/kg-day,3,Medium,,,,,,,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Based on sufficient evidence from human data. An increased lung cancer mortality was observed in multiple human populations exposed primarily through inhalation. Also, increased mortality from multiple internal organ cancers (liver, kidney, lung, and bladder) and an increased incidence of skin cancer were observed in populations consuming drinking water high in inorganic arsenic. This may be a synopsis of the full weight-of-evidence narrative.","Oral Slope Factor: 1.5 per mg/kg-day
Drinking Water Unit Risk: 5 x 10-5 per µg/L
Extrapolation Method: Time- and dose-related formulation of the multistage model
Tumor site(s): Dermal
Tumor type(s): Skin cancer (Tseng, 1977; Tseng et al., 1968; U.S. EPA, 1988)","Inhalation Unit Risk: 4.3 x 10-3 per µg/m3
Extrapolation Method: Absolute-risk linear model
Tumor site(s): Respiratory
Tumor type(s): Lung cancer (Brown and Chu, 1983a,b,c; Lee-Feldstein, 1983; Higgins, 1982; Enterline and Marsh, 1982)"
Arsine,7784-42-1,Mar-01-1994,"(PDF 17 pp, 139 K)",Not Available,Yes,Hematologic; Immune,None,,,Inhalation,,,,,,,Immune; Hematologic,5 x 10 -5,Increased hemolysis; abnormal RBC morphology; and increased spleen weight,NOAEL (HEC): 1.4 x 10-2 mg/m3,300,Medium,,,,,
Asbestos,1332-21-4,Sep-26-1988,"(PDF 15 pp, 129 K)",Not Available,No,None,Respiratory,,,,,,,,,,,,,,,,A (Human carcinogen),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)","Observation of increased mortality and incidence of lung cancer, mesotheliomas and gastrointestinal cancer in occupationally exposed workers are consistent across investigators and study populations. Animal studies by inhalation in two strains of rats showed similar findings for lung cancer and mesotheliomas. Animal evidence for carcinogenicity via ingestion is limited (male rats fed intermediate-range chrysotile fibers; i.e., >10 um length, developed benign polyps), and epidemiologic data in this regard are inadequate. This may be a synopsis of the full weight-of-evidence narrative.",,"Inhalation Unit Risk: 2.3 x 10-1 per f/mL
Extrapolation Method: Additive risk of lung cancer and mesothelioma, using relative risk model for lung cancer and absolute risk model for mesothelioma
Tumor site(s): Respiratory
Tumor type(s): Lung cancer and mesothelioma (Selikoff et al., 1979; Peto et al., 1982; Seidman et al., 1979; Peto, 1980; Finkelstein, 1983)"
Assure,76578-14-8,Jun-01-1991,"(PDF 11 pp, 104 K)",Not Available,Yes,Hepatic,None,pesticide,,Oral,Hepatic,9 x 10 -3,Liver cell enlargement,NOEL: 9 x 10-1 mg/kg-day,100,High,,,,,,,D (Not classifiable as to human carcinogenicity),"Guidelines for Carcinogen Risk Assessment (U.S. EPA, 1986)",Based on no human data and inadequate animal data. This may be a synopsis of the full weight-of-evidence narrative.,,
Asulam,3337-71-1,Jun-30-1988,"(PDF 7 pp, 90 K)",Not Available,Yes,Hepatic; Reproductive,None,pesticide,archive,Oral,Reproductive; Hepatic,5 x 10 -2,Lower ovarian weight; lower liver/body weight,LEL: 5.0 x 101 mg/kg-day,1000,Medium,,,,,,,,,,,
